Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm),6.15,6.38,6.61,6.85,7.10,7.37,7.64,7.91,8.20,8.51,8.82,9.14,9.47,9.82, 10.2, 10.6, 10.9, 11.3, 11.8, 12.2, 12.6, 13.1, 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
20,11/12/2019,15:21:04,17.5,99.9,47.3,6.66334e-008,1.80607e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,0.000,2.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,2.000,1.000,1.000,0.000,4.000,3.000,6.001,4.000,3.000,5.001,1.000,3.000,1.000,1.000,2.000,0.000,1.658,2.343,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9842.70,6.04,220.7,1.000,3.98,1.62,665.3,ON,100.456,95.208,86.226,101.815,1.606,3.939800e+002,,Test,,,,,Detector aerosol flow rate error,
21,11/12/2019,15:22:24,17.5,100.0,47.3,6.65667e-008,1.80607e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,1.000,0.000,0.000,1.000,1.000,0.000,1.000,4.000,1.000,4.000,2.000,1.000,2.000,0.000,0.000,1.000,2.000,0.000,2.000,0.000,2.000,1.000,1.000,1.000,0.724,0.276,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.309,0.00,10.31,9847.46,6.04,220.7,1.000,3.98,1.62,665.4,ON,85.236,83.948,73.867,85.053,1.716,2.844521e+002,,Test,,,,,Detector aerosol flow rate error,
22,11/12/2019,15:23:44,17.5,100.0,47.2,6.65667e-008,1.80607e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.973,0.027,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,2.000,1.000,0.000,2.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,1.000,1.000,0.000,2.000,1.000,1.000,1.000,0.000,0.000,2.899,0.101,0.000,1.000,5.061,0.958,0.982,3.000,3.000,1.445,0.555,0.782,0.218,3.000,2.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,50,8,50,1,15.000,0.310,0.00,10.31,9847.46,6.04,220.7,1.000,3.98,1.62,664.2,ON,100.048,97.125,83.660,117.574,1.799,3.180795e+002,,Test,,,,,Detector aerosol flow rate error,
23,11/12/2019,15:25:04,17.5,100.0,47.1,6.65667e-008,1.80607e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,2.000,0.000,2.128,0.872,0.000,1.000,2.000,1.000,3.000,1.000,0.000,0.812,2.189,2.000,2.000,1.000,2.716,2.285,1.000,1.000,4.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,2.000,1.000,0.000,1.000,1.000,1.000,0.000,1.000,1.000,50,8,50,1,15.000,0.309,0.00,10.31,9847.39,6.04,220.7,1.000,3.98,1.62,665.4,ON,83.436,93.717,81.623,105.545,1.726,3.251622e+002,,Test,,,,,Detector aerosol flow rate error,
24,11/12/2019,15:26:24,17.6,100.0,47.0,6.65959e-008,1.80656e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,2.000,0.000,1.000,1.000,2.000,1.000,0.000,1.000,3.718,0.282,3.000,1.000,2.000,0.000,2.000,0.000,2.000,1.000,2.000,2.000,0.000,0.000,0.000,1.000,2.000,0.000,1.000,0.000,50,8,50,1,15.000,0.310,0.00,10.30,9848.03,6.04,220.7,1.000,3.98,1.62,664.3,ON,106.940,103.274,90.092,35.866,1.743,2.732268e+002,,Test,,,,,Detector aerosol flow rate error,
25,11/12/2019,15:27:44,17.6,100.0,47.0,6.65959e-008,1.80656e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,1.000,2.000,2.000,1.000,1.000,0.000,1.000,2.000,1.000,0.000,3.000,0.000,0.651,5.350,0.000,1.000,1.000,2.000,1.000,2.000,1.000,2.000,1.000,0.000,1.000,0.000,1.000,0.000,2.000,1.000,1.000,2.000,1.000,0.000,1.000,0.000,0.000,0.649,0.351,50,8,50,1,15.000,0.310,0.00,10.30,9847.96,6.04,220.7,1.000,3.98,1.62,664.3,ON,78.346,84.009,70.136,88.168,1.890,3.638174e+002,,Test,,,,,Detector aerosol flow rate error,
26,11/12/2019,15:29:04,17.6,100.0,46.9,6.65959e-008,1.80656e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.336,0.665,0.000,2.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.015,1.986,1.000,1.000,1.000,3.000,0.000,1.000,2.000,0.000,3.000,0.000,2.000,0.000,0.000,0.000,1.000,3.000,1.501,3.499,0.000,1.000,1.000,1.000,1.000,0.000,1.000,3.000,1.000,0.000,0.000,0.000,2.000,50,8,50,1,15.000,0.310,0.00,10.30,9847.96,6.04,220.7,1.000,3.98,1.62,664.3,ON,91.337,100.993,87.036,135.773,1.778,3.090377e+002,,Test,,,,,Detector aerosol flow rate error,
27,11/12/2019,15:30:24,17.6,100.0,46.8,6.65959e-008,1.80656e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,2.338,1.662,0.000,0.000,0.000,1.000,1.000,1.000,1.000,4.000,0.000,0.000,0.000,2.000,1.000,0.000,1.000,1.000,3.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,3.000,0.000,1.000,0.000,3.000,2.000,0.000,1.000,0.000,0.000,1.000,2.000,0.000,0.000,2.000,1.000,1.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9847.96,6.04,220.7,1.000,3.98,1.62,665.5,ON,71.575,90.769,77.246,55.232,1.762,2.933429e+002,,Test,,,,,Detector aerosol flow rate error,
28,11/12/2019,15:31:44,17.7,100.0,46.7,6.66251e-008,1.80704e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.469,0.532,1.000,1.000,0.000,2.000,1.000,0.000,0.000,2.000,0.000,1.000,0.000,2.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,1.000,1.000,0.000,2.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.935,0.065,2.000,0.000,1.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9848.60,6.04,220.7,1.000,3.98,1.62,665.5,ON,71.445,89.193,76.206,34.599,1.753,2.253306e+002,,Test,,,,,Detector aerosol flow rate error,
29,11/12/2019,15:33:04,17.7,100.0,46.6,6.66251e-008,1.80704e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,1.000,2.000,3.000,0.000,1.000,0.000,1.000,1.000,2.000,0.000,2.000,2.000,1.000,0.000,0.758,1.945,1.298,0.000,2.000,1.000,1.000,0.000,0.000,1.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9848.60,6.04,220.7,1.000,3.98,1.62,665.5,ON,98.768,103.730,88.515,98.217,1.860,2.376632e+002,,Test,,,,,Detector aerosol flow rate error,
30,11/12/2019,15:34:24,17.7,100.0,46.5,6.66251e-008,1.80704e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.000,0.469,0.532,1.000,0.000,0.000,1.000,2.000,0.000,0.000,1.672,1.329,2.000,1.150,2.851,0.000,1.000,0.000,1.000,1.000,0.000,1.000,1.000,4.000,0.000,0.000,1.000,1.000,1.000,1.000,2.000,0.000,2.000,1.000,1.000,2.000,1.935,1.066,0.000,0.000,1.000,1.000,50,8,50,1,15.000,0.309,0.00,10.30,9848.60,6.04,220.7,1.000,3.98,1.62,665.5,ON,94.937,105.145,92.659,113.419,1.685,2.905409e+002,,Test,,,,,Detector aerosol flow rate error,
31,11/12/2019,15:35:44,17.8,100.0,46.5,6.66543e-008,1.80752e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,1.000,0.560,1.441,0.000,1.000,0.000,0.000,0.000,2.000,1.000,2.000,1.000,2.000,0.000,0.000,0.000,3.000,0.000,1.000,1.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,2.000,0.000,1.000,1.000,2.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,50,8,50,1,15.000,0.310,0.00,10.30,9849.17,6.04,220.7,1.000,3.98,1.62,664.4,ON,67.707,80.312,66.510,82.047,1.902,2.637842e+002,,Test,,,,,Detector aerosol flow rate error,
32,11/12/2019,15:37:04,17.8,100.0,46.4,6.66543e-008,1.80752e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.573,0.427,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,1.000,2.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.979,1.022,0.000,0.000,0.000,2.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.928,0.072,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9849.10,6.04,220.7,1.000,3.98,1.62,665.6,ON,68.600,76.428,64.858,68.539,1.805,1.933113e+002,,Test,,,,,Detector aerosol flow rate error,
33,11/12/2019,15:38:24,17.8,100.0,46.3,6.66543e-008,1.80752e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,2.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,3.000,2.000,0.000,1.002,0.998,0.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,1.000,3.000,0.000,2.000,1.000,0.000,2.000,50,8,50,1,15.000,0.309,0.00,10.30,9849.17,6.04,220.7,1.000,3.98,1.62,665.6,ON,103.686,108.952,95.240,181.056,1.695,2.389687e+002,,Test,,,,,Detector aerosol flow rate error,
34,11/12/2019,15:39:44,17.9,100.0,46.3,6.66836e-008,1.80800e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,1.000,1.000,1.287,4.714,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.000,2.000,1.000,1.000,1.000,1.000,1.000,2.000,0.000,0.000,1.000,1.000,4.992,2.009,0.000,2.000,0.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.310,0.00,10.30,9849.74,6.04,220.7,1.000,3.98,1.62,664.5,ON,90.273,95.167,84.712,66.117,1.648,2.803634e+002,,Test,,,,,Detector aerosol flow rate error,
35,11/12/2019,15:41:04,17.9,100.0,46.2,6.66836e-008,1.80800e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,2.000,0.000,1.000,1.000,0.000,1.000,1.000,2.000,0.000,1.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,3.000,2.000,1.000,3.000,3.000,0.000,3.000,2.000,0.000,2.000,2.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9849.67,6.04,220.7,1.000,3.98,1.62,665.7,ON,72.546,68.710,60.053,73.653,1.695,3.273519e+002,,Test,,,,,Detector aerosol flow rate error,
36,11/12/2019,15:42:24,17.9,100.0,46.1,6.66836e-008,1.80800e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,2.000,1.000,1.000,0.000,4.001,2.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,2.000,3.000,2.000,1.000,1.000,1.000,0.000,2.000,0.000,0.000,1.000,1.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9849.74,6.04,220.7,1.000,3.98,1.62,665.7,ON,88.578,97.355,82.455,88.168,1.850,2.686248e+002,,Test,,,,,Detector aerosol flow rate error,
37,11/12/2019,15:43:44,17.9,100.0,46.0,6.66836e-008,1.80800e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,1.000,2.000,1.000,3.000,1.000,1.000,2.000,0.000,1.000,1.000,1.000,0.648,2.352,3.000,2.000,2.000,1.000,2.000,1.884,1.116,0.000,1.000,1.000,2.000,1.000,1.000,1.000,2.000,1.000,0.000,1.000,1.000,1.000,0.000,0.000,2.645,0.355,50,8,50,1,15.000,0.310,0.00,10.30,9849.74,6.04,220.7,1.000,3.98,1.62,664.5,ON,94.276,101.994,91.794,66.117,1.596,3.316289e+002,,Test,,,,,Detector aerosol flow rate error,
38,11/12/2019,15:45:04,17.9,100.0,45.9,6.66836e-008,1.80800e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.018,0.982,0.000,1.000,0.000,0.000,2.000,1.000,0.000,2.000,1.000,2.000,0.000,0.000,2.000,1.000,3.000,0.000,1.000,0.000,0.000,3.000,2.000,2.000,0.000,4.001,0.000,1.000,2.884,2.117,1.000,1.000,0.000,3.992,1.009,1.000,0.000,0.000,1.000,0.000,1.000,1.000,2.000,1.101,1.899,1.000,0.000,50,8,50,1,15.000,0.310,0.00,10.30,9849.67,6.04,220.7,1.000,3.98,1.62,664.5,ON,86.994,90.573,75.016,21.674,1.911,4.007747e+002,,Test,,,,,Detector aerosol flow rate error,
39,11/12/2019,15:46:24,17.9,100.0,45.8,6.66836e-008,1.80800e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,2.000,1.000,1.000,0.305,2.695,2.000,2.000,2.928,2.073,1.000,0.000,2.000,2.000,3.000,1.000,2.614,1.387,2.000,1.000,2.000,2.000,4.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,1.000,0.090,1.910,0.000,0.000,0.000,50,8,50,1,15.000,0.310,0.00,10.30,9849.67,6.04,220.7,1.000,3.98,1.62,664.5,ON,80.049,87.004,78.911,113.419,1.557,3.872919e+002,,Test,,,,,Detector aerosol flow rate error,
40,11/12/2019,15:47:44,17.9,100.0,45.7,6.66836e-008,1.80800e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,2.000,0.000,2.000,1.000,3.000,0.000,0.000,1.000,2.000,5.000,2.000,4.000,2.000,0.000,1.000,2.000,0.000,2.000,0.000,1.000,1.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.310,0.00,10.30,9849.67,6.04,220.7,1.000,3.98,1.62,664.5,ON,89.190,90.145,79.376,105.545,1.713,3.254194e+002,,Test,,,,,Detector aerosol flow rate error,
41,11/12/2019,15:49:04,18.0,100.0,45.6,6.67128e-008,1.80848e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,1.000,2.000,0.000,0.000,3.000,0.307,4.693,0.000,2.000,2.000,1.000,1.000,1.000,2.000,0.000,4.000,2.000,4.000,0.000,2.000,0.000,1.000,0.000,0.000,1.000,3.000,0.000,1.000,1.000,1.000,2.000,0.000,2.000,2.000,0.000,1.000,1.000,0.000,0.000,0.000,1.000,50,8,50,1,15.000,0.310,0.00,10.30,9850.23,6.04,220.7,1.000,3.98,1.62,664.5,ON,86.803,94.095,84.851,63.780,1.582,3.429181e+002,,Test,,,,,Detector aerosol flow rate error,
42,11/12/2019,15:50:24,18.0,100.1,45.5,6.66461e-008,1.80848e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,2.000,1.000,0.000,1.000,0.240,5.760,6.001,0.000,2.000,4.000,2.000,1.000,1.226,4.774,3.000,2.000,1.000,1.007,1.993,2.000,0.000,1.000,3.000,1.652,0.349,0.693,1.307,4.000,0.605,0.395,2.000,1.000,1.000,0.000,1.000,50,8,50,1,15.000,0.310,0.00,10.31,9854.92,6.04,220.7,1.000,3.98,1.62,664.6,ON,92.645,102.217,91.026,79.148,1.671,4.298600e+002,,Test,,,,,Detector aerosol flow rate error,
